jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
12232	https://www.city.shiroi.chiba.jp/shisei/shisaku/s05/1473918706922.html	独自	enabled		
12233	https://www.city.tomisato.lg.jp/0000016181.html	独自	enabled		2026-09-17 確認: 『行政評価』と『評価シート』／添付6件
12234			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12235			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12236	https://www.city.katori.lg.jp/government/plan_policy/gyokaku/gyoseihyoka.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 10 件
12237	https://www.city.sammu.lg.jp/shisei/gyousei-hyoka/page001212.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
12238			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12239	https://www.city.oamishirasato.lg.jp/0000009394.html	独自	enabled		
12322			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12329			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12342			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12347	https://www.town.tako.chiba.jp/docs/2023063000013/	独自	review_required	weak_signal	2026-09-17: 評価の入口『第２次多古町多古町男女共同参画推進プラン事業評価』
12349			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12403			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12409			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12410	https://www.town.yokoshibahikari.chiba.jp/soshiki/3/11559.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 6 件
12421			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12422			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12423			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12424			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12426			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12427			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12441			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12443			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
12463			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13000			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13101	https://www.city.chiyoda.lg.jp/koho/kuse/shisaku/hyoka/index.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
13102	https://www.city.chuo.lg.jp/a0001/kusei/gyouseihyouka/hyouka/r5gyouseihyouka.html	独自	enabled		2026-09-17 確認: 『行政評価』と『評価シート』／添付12件
13103	https://www.city.minato.tokyo.jp/kikaku/kuse/shisaku/gyozaise/gyosehyoka/kekka/h29evaluation.html	独自	enabled		
13104	https://www.city.shinjuku.lg.jp/kusei/index24.html	独自	review_required	weak_signal	2026-09-17: 評価の入口『行政評価：新宿区』
13105			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13106	https://www.city.taito.lg.jp/other/kikaku/gyoseihyoka_head/gyoseihyoka01/jimujigyo01/jimutop01.html	独自	enabled		
13107	https://www.city.sumida.lg.jp/kuseijoho/gyoseikaikaku_zaisei/gyousei_hyouka/index.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
13108	https://www.city.koto.lg.jp/010100/r6gyouseihyouka.html	独自	enabled		2026-09-17 確認: 本文に『事務事業評価』／添付42件
13109			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13110			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13111			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13112	https://www.city.setagaya.lg.jp/02005/6126.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 2 件
13113			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13114			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13115	https://www.city.suginami.tokyo.jp/s001/1228.html	独自	review_required	needs_confirmation	2026-09-17: 本文に『事務事業評価』。評価表は下の階層にある
13116	https://www.city.toshima.lg.jp/009/kuse/shisaku/gyosehyoka/r4zimuzigyo.html	独自	enabled		
13117			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
13118	https://www.city.arakawa.tokyo.jp/gyouseihyouka/index.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 20 件
13119	https://www.city.itabashi.tokyo.jp/kusei/shiteikanri/hyouka/1007771.html	独自	enabled		2026-09-17 確認: 年度ごとの評価文書 2 件
13120			unresolved	source_url_unresolved	この調査手順では入口を見つけられなかった
