jis_code	url	system_type	crawl_status	exclusion_reason	exclusion_detail
10449			unresolved	source_url_unresolved	
10464			unresolved	source_url_unresolved	
10521			unresolved	source_url_unresolved	
10522			unresolved	source_url_unresolved	
10523			unresolved	source_url_unresolved	
10524			unresolved	source_url_unresolved	
10525			unresolved	source_url_unresolved	
11000	https://www.pref.saitama.lg.jp/e1801/r7-houkatugaibu-kekka.html	独自	enabled		都道府県（義務） リンク文字『令和7年度包括外部監査結果』 添付2
11100	https://www.city.saitama.lg.jp/006/007/010/002/002/index.html	独自	enabled		任意 手で確認: 題名『さいたま市／包括外部監査の結果』 添付0
11201	https://www.city.kawagoe.saitama.jp/shisei/kansa/1011171/1020367.html	独自	enabled		中核市（義務） リンク文字『令和7年度 包括外部監査の結果報告書・措置状況』 添付3
11202			unresolved	source_url_unresolved	
11203	https://www.city.kawaguchi.lg.jp/soshiki/06030/010/houkatsugaibukansakekka/index.html	独自	enabled		中核市（義務） リンク文字『包括外部監査結果』 添付0
11206			unresolved	source_url_unresolved	
11207			unresolved	source_url_unresolved	
11208			unresolved	source_url_unresolved	
11209			unresolved	source_url_unresolved	
11210			unresolved	source_url_unresolved	
11211			unresolved	source_url_unresolved	
11212			unresolved	source_url_unresolved	
11214			unresolved	source_url_unresolved	
11215			unresolved	source_url_unresolved	
11216			unresolved	source_url_unresolved	
11217			unresolved	source_url_unresolved	
11218			unresolved	source_url_unresolved	
11219			unresolved	source_url_unresolved	
11221			unresolved	source_url_unresolved	
11222	https://www.city.koshigaya.saitama.jp/kurashi_shisei/shisei/kansakoheiiinkai/gaibu/R7houkatugaibukansakekka.html	独自	enabled		中核市（義務） リンク文字『包括外部監査(令和7年度)』 添付2
11223			unresolved	source_url_unresolved	
11224			unresolved	source_url_unresolved	
11225			unresolved	source_url_unresolved	
11227			unresolved	source_url_unresolved	
11228			unresolved	source_url_unresolved	
11229			unresolved	source_url_unresolved	
11230			unresolved	source_url_unresolved	
11231			unresolved	source_url_unresolved	
11232			unresolved	source_url_unresolved	
11233			unresolved	source_url_unresolved	
11234			unresolved	source_url_unresolved	
11235			unresolved	source_url_unresolved	
11237			unresolved	source_url_unresolved	
11238			unresolved	source_url_unresolved	
11239			unresolved	source_url_unresolved	
11240			unresolved	source_url_unresolved	
11241			unresolved	source_url_unresolved	
11242			unresolved	source_url_unresolved	
11243			unresolved	source_url_unresolved	
11245			unresolved	source_url_unresolved	
11246			unresolved	source_url_unresolved	
11301			unresolved	source_url_unresolved	
11324			unresolved	source_url_unresolved	
11326			unresolved	source_url_unresolved	
11327			unresolved	source_url_unresolved	
11341			unresolved	source_url_unresolved	
11342			unresolved	source_url_unresolved	
11343			unresolved	source_url_unresolved	
11346			unresolved	source_url_unresolved	
11347			unresolved	source_url_unresolved	
11348			unresolved	source_url_unresolved	
11349			unresolved	source_url_unresolved	
11361			unresolved	source_url_unresolved	
11362			unresolved	source_url_unresolved	
11363			unresolved	source_url_unresolved	
11365			unresolved	source_url_unresolved	
11369			unresolved	source_url_unresolved	
11381			unresolved	source_url_unresolved	
11383			unresolved	source_url_unresolved	
11385			unresolved	source_url_unresolved	
11408			unresolved	source_url_unresolved	
11442			unresolved	source_url_unresolved	
11464			unresolved	source_url_unresolved	
11465			unresolved	source_url_unresolved	
12000	https://www.pref.chiba.lg.jp/kansa/chousei/gaibu/kansanin.html	独自	enabled		都道府県（義務） リンク文字『包括外部監査人・包括外部監査のテーマを見る』 添付0
12100	https://www.city.chiba.jp/somu/joho/kaikaku/houkatugaibukansa.html	独自	enabled		政令市（義務） リンク文字『包括外部監査の報告書・措置状況』 添付59
12202			unresolved	source_url_unresolved	
12203			unresolved	source_url_unresolved	
12204	https://www.city.funabashi.lg.jp/shisei/kansa/003/p0097602.html	独自	enabled		中核市（義務） リンク文字『包括外部監査』 添付17
12205			unresolved	source_url_unresolved	
12206			unresolved	source_url_unresolved	
12207			unresolved	source_url_unresolved	
12208			unresolved	source_url_unresolved	
12210			unresolved	source_url_unresolved	
12211			unresolved	source_url_unresolved	
12212			unresolved	source_url_unresolved	
12213			unresolved	source_url_unresolved	
12215			unresolved	source_url_unresolved	
12216			unresolved	source_url_unresolved	
12217	https://www.city.kashiwa.lg.jp/somukanzai/shiseijoho/inspection/4761/index.html	独自	review_required	needs_confirmation	中核市（義務） 本文に『包括外部監査』 添付0 入口かどうか要確認
12218			unresolved	source_url_unresolved	
12219			unresolved	source_url_unresolved	
12220			unresolved	source_url_unresolved	
12221			unresolved	source_url_unresolved	
12222			unresolved	source_url_unresolved	
12223			unresolved	source_url_unresolved	
12224			unresolved	source_url_unresolved	
12225			unresolved	source_url_unresolved	
12226			unresolved	source_url_unresolved	
12227			unresolved	source_url_unresolved	
12228			unresolved	source_url_unresolved	
12229			unresolved	source_url_unresolved	
12230			unresolved	source_url_unresolved	
12231			unresolved	source_url_unresolved	
12232			unresolved	source_url_unresolved	
12233			unresolved	source_url_unresolved	
12234			unresolved	source_url_unresolved	
12235			unresolved	source_url_unresolved	
12236			unresolved	source_url_unresolved	
12237			unresolved	source_url_unresolved	
12238			unresolved	source_url_unresolved	
12239			unresolved	source_url_unresolved	
12322			unresolved	source_url_unresolved	
12329			unresolved	source_url_unresolved	
12342			unresolved	source_url_unresolved	
12347			unresolved	source_url_unresolved	
12349			unresolved	source_url_unresolved	
12403			unresolved	source_url_unresolved	
12409			unresolved	source_url_unresolved	
12410			unresolved	source_url_unresolved	
12421			unresolved	source_url_unresolved	
12422			unresolved	source_url_unresolved	
12423			unresolved	source_url_unresolved	
12424			unresolved	source_url_unresolved	
12426			unresolved	source_url_unresolved	
12427			unresolved	source_url_unresolved	
12441			unresolved	source_url_unresolved	
12443			unresolved	source_url_unresolved	
12463			unresolved	source_url_unresolved	
13000	https://www.kansa.metro.tokyo.lg.jp/houkatsugaibu	独自	enabled		都道府県（義務） リンク文字『包括外部監査』 添付0
13101			unresolved	source_url_unresolved	
13102			unresolved	source_url_unresolved	
13103			unresolved	source_url_unresolved	
13104			unresolved	source_url_unresolved	
13105			unresolved	source_url_unresolved	
13106			unresolved	source_url_unresolved	
13107			unresolved	source_url_unresolved	
13108			unresolved	source_url_unresolved	
13109			unresolved	source_url_unresolved	
13110			unresolved	source_url_unresolved	
13111			unresolved	source_url_unresolved	
13112			unresolved	source_url_unresolved	
13113			unresolved	source_url_unresolved	
13114			unresolved	source_url_unresolved	
13115			unresolved	source_url_unresolved	
13116			unresolved	source_url_unresolved	
13117			unresolved	source_url_unresolved	
13118			unresolved	source_url_unresolved	
13119			unresolved	source_url_unresolved	
13120			unresolved	source_url_unresolved	
13121			unresolved	source_url_unresolved	
13122			unresolved	source_url_unresolved	
13123			unresolved	source_url_unresolved	
13201	https://www.city.hachioji.tokyo.jp/shisei/001/010/004/003/index.html	独自	enabled		中核市（義務） リンク文字『包括外部監査の結果と措置状況』 添付0
13202			unresolved	source_url_unresolved	
13203			unresolved	source_url_unresolved	
13204			unresolved	source_url_unresolved	
13205			unresolved	source_url_unresolved	
13206			unresolved	source_url_unresolved	
13207			unresolved	source_url_unresolved	
13208			unresolved	source_url_unresolved	
13209			unresolved	source_url_unresolved	
13210			unresolved	source_url_unresolved	
13211			unresolved	source_url_unresolved	
13212			unresolved	source_url_unresolved	
13213			unresolved	source_url_unresolved	
13214			unresolved	source_url_unresolved	
13215			unresolved	source_url_unresolved	
13218			unresolved	source_url_unresolved	
13219			unresolved	source_url_unresolved	
13220			unresolved	source_url_unresolved	
13221			unresolved	source_url_unresolved	
13222			unresolved	source_url_unresolved	
13223			unresolved	source_url_unresolved	
13224			unresolved	source_url_unresolved	
13225			unresolved	source_url_unresolved	
13227			unresolved	source_url_unresolved	
13228			unresolved	source_url_unresolved	
13229			unresolved	source_url_unresolved	
13303			unresolved	source_url_unresolved	
13305			unresolved	source_url_unresolved	
13307			unresolved	source_url_unresolved	
13308			unresolved	source_url_unresolved	
13361			unresolved	source_url_unresolved	
13362			unresolved	source_url_unresolved	
13363			unresolved	source_url_unresolved	
13364			unresolved	source_url_unresolved	
13381			unresolved	source_url_unresolved	
13382			unresolved	source_url_unresolved	
13401			unresolved	source_url_unresolved	
13402			unresolved	source_url_unresolved	
13421			unresolved	source_url_unresolved	
14000	https://www.pref.kanagawa.jp/docs/bd4/cnt/f6643/index.html	独自	enabled		任意 手で確認: 題名『包括外部監査の結果について - 神奈川県ホームペ』 添付2
14100	https://www.city.yokohama.lg.jp/city-info/gyosei-kansa/kansa/kekka/kekka-gai.html	独自	enabled		政令市（義務） リンク文字『包括外部監査結果のページ』 添付70
14130	https://www.city.kawasaki.jp/920/page/0000018833.html	独自	enabled		政令市（義務） リンク文字『包括外部監査[2026年2月13日]』 添付82
14150	https://www.city.sagamihara.kanagawa.jp/shisei/1026896/kansa/jimukyoku_gaibu/index.html	独自	enabled		政令市（義務） リンク文字『包括外部監査』 添付0
